age,male,freshman,sophomore,junior,senior,fraternity,abstainer,lightdrinker,moddrinker,heavydrinker,marijuana,gpa,work,drinks
21,1,0,0,1,0,1,0,0,0,1,1,2.6666999,0,6
25,1,0,0,0,1,0,0,1,0,0,0,3,1,0
18,1,1,0,0,0,0,0,0,1,0,0,2.3333001,0,6
18,0,1,0,0,0,0,0,1,0,0,0,2.6666999,0,0
19,0,1,0,0,0,0,0,1,0,0,0,4,0,0
19,1,1,0,0,0,0,0,1,0,0,0,2.3333001,0,5
19,0,1,0,0,0,0,0,0,1,0,1,3.6666999,0,3
19,0,1,0,0,0,0,0,0,1,0,1,2.6666999,0,7
19,1,1,0,0,0,0,0,0,0,1,0,1.6667,1,9
19,0,1,0,0,0,0,0,1,0,0,1,3.3333001,1,2
21,1,0,0,1,0,0,0,0,0,1,0,2.3333001,1,8
18,0,1,0,0,0,0,0,1,0,0,0,4,0,1
20,1,0,1,0,0,0,0,0,1,0,0,3,0,5
20,0,0,1,0,0,0,0,1,0,0,0,3.3333001,0,3
22,0,0,0,1,0,0,0,0,1,0,0,3.6666999,0,4
19,0,0,0,1,0,0,0,1,0,0,1,3.6666999,1,6
18,0,1,0,0,0,0,1,0,0,0,0,3.6666999,1,0
18,0,0,0,1,0,0,0,1,0,0,1,3,1,5
21,0,0,0,0,1,0,1,0,0,0,0,4,1,0
25,0,0,0,0,1,0,0,1,0,0,0,3.6666999,1,1
21,0,0,0,1,0,0,0,1,0,0,0,3,1,1
22,1,0,0,0,1,0,0,0,1,0,0,4,0,2
18,0,1,0,0,0,0,0,1,0,0,0,2.3333001,1,4
20,1,0,1,0,0,0,0,1,0,0,1,4,0,3
22,0,0,0,1,0,0,0,1,0,0,1,3.6666999,1,3
19,1,0,1,0,0,0,1,0,0,0,0,2,1,0
25,1,0,0,1,0,0,0,0,1,0,0,3,1,9
25,0,0,0,0,1,0,0,1,0,0,0,3,0,2
18,0,1,0,0,0,0,0,1,0,0,0,2,1,3
21,0,0,0,0,1,0,0,0,1,0,0,4,1,2
19,1,0,1,0,0,1,0,1,0,0,0,3,1,3
25,0,0,0,0,1,0,0,1,0,0,0,4,1,1
19,0,0,1,0,0,0,0,1,0,0,0,3,1,5
19,1,1,0,0,0,0,0,1,0,0,0,4,1,1
19,0,0,1,0,0,0,0,1,0,0,0,3.6666999,1,9
25,1,0,0,0,1,0,0,1,0,0,0,3.6666999,1,1
23,0,0,0,0,1,0,0,1,0,0,0,3,1,1
21,0,0,0,0,1,0,0,0,1,0,0,4,0,2
18,1,1,0,0,0,0,0,1,0,0,1,2.6666999,1,4
20,1,0,1,0,0,0,0,1,0,0,0,3.3333001,1,1
20,1,0,1,0,0,0,0,1,0,0,0,3.3333001,1,1
22,1,0,0,0,1,0,0,1,0,0,0,3,1,2
22,0,0,0,1,0,0,0,0,1,0,0,3.3333001,1,2
18,0,1,0,0,0,0,0,0,1,0,0,3.3333001,1,5
19,0,0,0,1,0,0,0,1,0,0,0,4,1,0
19,1,1,0,0,0,0,1,0,0,0,0,4,1,0
20,0,0,1,0,0,1,0,0,0,1,0,3.3333001,0,7
18,0,1,0,0,0,0,0,0,1,0,0,3,0,7
20,1,0,1,0,0,0,0,1,0,0,0,3,1,3
21,0,0,0,1,0,0,0,1,0,0,0,2.6666999,1,2
19,0,0,1,0,0,0,1,0,0,0,0,3,0,0
18,1,1,0,0,0,0,0,1,0,0,1,3,0,8
20,0,0,0,1,0,0,0,1,0,0,1,3.3333001,1,9
21,1,0,0,1,0,0,0,1,0,0,0,3.3333001,0,0
22,0,0,1,0,0,0,0,0,1,0,0,2.6666999,1,2
20,0,0,0,1,0,1,0,1,0,0,0,2.6666999,1,4
19,0,1,0,0,0,0,0,1,0,0,0,3.6666999,1,3
25,0,0,0,0,1,0,0,1,0,0,0,3.3333001,1,2
21,0,0,0,1,0,0,0,0,1,0,1,3,1,7
25,0,0,0,0,1,1,0,0,1,0,0,4,1,4
21,1,0,0,0,1,0,1,0,0,0,0,3.3333001,1,0
19,1,1,0,0,0,0,0,0,1,0,0,,1,5
21,0,0,0,0,1,0,0,1,0,0,0,3,1,0
20,0,0,1,0,0,0,0,1,0,0,0,3.3333001,1,1
22,1,0,0,0,1,1,0,1,0,0,1,3,0,2
20,0,0,1,0,0,0,1,0,0,0,0,4,1,0
22,0,0,0,0,1,1,0,0,0,1,1,3.3333001,0,6
23,0,0,0,0,1,0,1,0,0,0,0,2.6666999,1,0
21,1,0,0,1,0,0,0,0,1,0,0,3.3333001,0,6
18,1,1,0,0,0,0,1,0,0,0,0,3,0,0
19,1,1,0,0,0,0,0,0,0,1,0,2.3333001,0,6
22,0,0,0,0,1,0,0,1,0,0,0,3.6666999,1,4
21,1,0,0,1,0,0,0,1,0,0,0,3,1,0
19,0,1,0,0,0,0,0,1,0,0,1,3.6666999,1,6
21,0,0,0,1,0,1,0,1,0,0,0,2.6666999,1,3
22,0,0,1,0,0,0,1,0,0,0,0,3.3333001,0,0
21,1,0,0,1,0,1,1,0,0,0,0,2.6666999,1,0
19,0,1,0,0,0,0,1,0,0,0,0,3,1,0
19,0,0,1,0,0,0,1,0,0,0,0,2.6666999,0,0
22,0,0,0,0,1,0,0,0,1,0,1,4,0,2
21,0,0,0,1,0,0,0,1,0,0,0,4,0,4
20,0,0,1,0,0,0,0,0,1,0,1,3,1,6
20,0,0,0,1,0,0,0,0,1,0,0,3.3333001,0,5
20,0,0,0,0,1,0,0,1,0,0,1,3.6666999,0,3
20,1,0,1,0,0,1,0,1,0,0,1,3.3333001,1,6
19,0,0,1,0,0,0,0,1,0,0,0,4,1,1
18,0,1,0,0,0,0,1,0,0,0,0,3.3333001,1,0
21,0,0,0,0,1,0,0,1,0,0,0,3.3333001,1,2
21,1,0,0,1,0,0,0,0,0,1,1,3,1,7
21,1,0,0,0,1,0,0,1,0,0,1,3.3333001,1,7
18,0,1,0,0,0,0,0,1,0,0,0,2.6666999,1,5
19,0,0,1,0,0,0,0,1,0,0,0,3.3333001,1,2
21,0,0,1,0,0,0,0,0,1,0,1,,1,3
21,0,0,0,1,0,0,0,0,0,1,0,3.3333001,0,8
25,0,0,0,0,1,0,0,1,0,0,0,4,1,0
18,1,1,0,0,0,0,0,1,0,0,0,3.3333001,1,1
19,0,0,1,0,0,0,1,0,0,0,0,4,1,0
25,0,0,0,0,1,0,0,1,0,0,0,4,1,2
21,1,0,0,0,1,0,0,0,0,1,1,3.3333001,1,9
22,0,0,0,0,1,0,0,1,0,0,1,2.3333001,1,4
21,0,0,0,0,1,0,0,0,1,0,0,4,1,2
25,1,0,0,0,1,0,0,1,0,0,0,4,0,3
20,1,0,1,0,0,1,0,1,0,0,0,4,1,0
22,0,0,0,0,1,0,0,0,1,0,0,4,1,2
19,1,0,1,0,0,0,0,1,0,0,0,4,1,4
21,0,0,0,0,1,0,0,1,0,0,0,4,0,1
19,0,1,0,0,0,0,0,1,0,0,0,3.6666999,1,4
23,1,0,0,1,0,0,1,0,0,0,0,4,1,0
24,1,0,0,0,1,0,0,0,1,0,0,4,1,1
20,1,0,1,0,0,1,0,0,1,0,1,3,0,9
19,0,0,1,0,0,0,0,1,0,0,1,3,1,2
18,1,1,0,0,0,0,0,0,1,0,0,2.6666999,0,6
22,1,0,0,0,1,1,0,1,0,0,0,2.6666999,1,5
19,1,1,0,0,0,0,0,0,1,0,0,3.3333001,0,5
18,0,1,0,0,0,0,0,1,0,0,0,3.3333001,0,8
23,1,0,0,0,1,0,1,0,0,0,0,3.6666999,1,0
19,0,0,1,0,0,1,0,0,1,0,1,3.3333001,1,4
21,1,0,0,1,0,0,0,0,1,0,0,3.3333001,0,3
19,0,1,0,0,0,0,0,1,0,0,1,3.3333001,1,3
20,0,0,0,1,0,0,0,1,0,0,0,3.6666999,0,1
20,0,0,1,0,0,0,0,1,0,0,0,3.6666999,1,1
21,0,0,0,1,0,0,0,0,0,1,1,3.6666999,0,4
20,1,0,1,0,0,0,1,0,0,0,0,3.6666999,0,0
18,0,1,0,0,0,1,1,0,0,0,0,2,0,0
18,0,1,0,0,0,0,1,0,0,0,0,3,1,0
22,0,0,0,0,1,0,0,1,0,0,0,3.3333001,0,1
18,1,1,0,0,0,0,0,1,0,0,1,3.3333001,0,4
21,1,0,0,1,0,0,0,1,0,0,0,3.6666999,1,0
18,0,1,0,0,0,0,0,0,1,0,0,3.6666999,1,5
21,0,0,0,1,0,0,0,1,0,0,0,4,1,2
20,0,0,1,0,0,0,0,0,0,0,0,2.3333001,1,0
20,1,0,0,1,0,0,0,1,0,0,0,3,1,6
23,0,0,0,1,0,0,0,1,0,0,0,3.6666999,1,4
25,1,0,0,1,0,0,0,0,1,0,0,3.3333001,1,2
18,0,1,0,0,0,1,0,0,1,0,0,3.6666999,0,2
19,0,1,0,0,0,0,0,1,0,0,0,3.3333001,0,7
18,1,1,0,0,0,1,0,0,1,0,0,3.3333001,0,5
23,0,0,0,0,1,0,1,0,0,0,0,3,1,0
25,1,0,0,0,1,0,1,0,0,0,0,4,1,0
19,1,1,0,0,0,0,0,1,0,0,0,1.6667,1,1
20,0,0,1,0,0,0,1,0,0,0,0,3,1,2
19,1,0,1,0,0,0,1,0,0,0,0,2.6666999,1,0
22,0,0,0,0,1,0,0,1,0,0,0,3.6666999,1,2
21,0,0,0,0,1,0,0,0,1,0,1,3,1,5
21,0,0,0,1,0,0,0,1,0,0,0,,1,3
21,1,0,0,1,0,0,0,1,0,0,0,2.6666999,0,2
21,0,0,0,0,1,0,0,1,0,0,0,4,1,0
22,1,0,0,0,1,0,0,0,1,0,1,3,1,3
20,1,0,1,0,0,0,0,0,1,0,0,3.6666999,1,4
19,1,1,0,0,0,0,0,1,0,0,0,2,0,6
21,0,0,0,0,1,0,0,1,0,0,0,4,0,2
19,0,0,0,1,0,0,0,1,0,0,1,4,1,3
21,0,0,0,0,1,1,0,1,0,0,0,2.3333001,1,4
19,0,1,0,0,0,0,0,1,0,0,0,3.6666999,1,3
19,1,0,1,0,0,0,0,1,0,0,0,2.3333001,0,1
22,1,0,0,0,1,0,0,1,0,0,0,3.6666999,1,1
19,0,1,0,0,0,1,0,0,1,0,1,3.6666999,0,5
20,0,0,0,1,0,1,0,1,0,0,1,2.6666999,0,4
21,0,0,0,1,0,0,0,1,0,0,1,3.3333001,1,5
20,1,0,1,0,0,0,0,0,1,0,1,2.6666999,1,3
20,1,0,0,1,0,0,0,1,0,0,0,3.6666999,0,0
23,0,0,0,1,0,0,1,0,0,0,0,4,0,0
22,0,0,0,0,1,0,0,0,1,0,0,3,1,3
19,0,1,0,0,0,0,1,0,0,0,0,4,0,0
20,1,0,1,0,0,0,0,0,1,0,1,3.6666999,0,8
22,1,0,0,0,1,1,0,0,1,0,0,3.6666999,1,6
22,0,0,0,0,1,0,0,1,0,0,0,3.3333001,1,0
24,1,0,0,0,1,1,0,0,1,0,1,2.3333001,1,3
21,0,0,0,1,0,0,1,0,0,0,0,4,1,0
18,1,1,0,0,0,0,0,1,0,0,1,3.6666999,0,6
18,0,1,0,0,0,0,1,0,0,0,0,,1,0
18,0,1,0,0,0,0,0,1,0,0,0,3.6666999,1,3
19,1,0,1,0,0,0,0,1,0,0,1,2.6666999,1,4
20,0,0,0,1,0,0,1,0,0,0,0,4,1,0
19,0,1,0,0,0,0,1,0,0,0,0,2.6666999,0,0
22,0,0,0,1,0,0,1,0,0,0,0,2.6666999,0,0
19,1,0,0,1,0,1,0,1,0,0,0,3.3333001,1,0
25,1,0,0,1,0,0,0,1,0,0,0,3.3333001,1,2
19,1,0,1,0,0,0,0,1,0,0,0,2.6666999,1,2
19,1,1,0,0,0,0,1,0,0,0,0,2.6666999,1,0
19,0,0,1,0,0,0,0,1,0,0,0,4,1,3
20,0,0,1,0,0,0,1,0,0,0,0,3,0,0
20,0,0,1,0,0,0,1,0,0,0,0,2.6666999,1,0
20,0,0,0,0,1,0,0,0,1,0,0,3,1,5
19,0,1,0,0,0,0,0,1,0,0,1,3,0,4
20,0,0,0,1,0,0,0,0,0,1,1,1.6667,0,3
19,0,0,1,0,0,1,0,0,1,0,0,3.6666999,0,3
20,0,0,0,1,0,0,0,0,1,0,0,3.3333001,1,4
20,1,0,0,1,0,0,1,0,0,0,0,4,1,0
18,0,1,0,0,0,0,0,1,0,0,0,3.6666999,1,2
22,0,0,0,0,1,1,0,0,1,0,0,4,1,4
25,1,0,0,0,1,0,0,1,0,0,0,3,1,2
19,1,0,1,0,0,0,1,0,0,0,1,1.6667,0,0
25,1,0,0,1,0,0,0,1,0,0,0,3,0,0
20,0,0,0,1,0,0,0,1,0,0,0,3.6666999,1,3
21,0,0,0,1,0,0,1,0,0,0,0,3,0,0
19,1,1,0,0,0,0,0,1,0,0,0,2.6666999,0,2
19,1,1,0,0,0,0,0,1,0,0,0,2,1,3
19,0,0,1,0,0,1,1,0,0,0,0,3.6666999,1,0
24,0,0,0,1,0,0,1,0,0,0,0,3.6666999,1,0
18,0,1,0,0,0,0,0,1,0,0,0,3.3333001,0,0
20,0,0,0,1,0,1,0,1,0,0,0,4,1,1
21,0,0,0,1,0,0,1,0,0,0,0,3.3333001,1,0
19,1,1,0,0,0,1,0,0,0,1,1,3,0,6
21,0,0,0,1,0,0,0,0,1,0,0,3.6666999,1,6
19,1,1,0,0,0,1,0,1,0,0,0,3,0,5
20,1,0,1,0,0,0,0,1,0,0,0,2.3333001,0,6
19,0,0,1,0,0,0,0,0,1,0,1,3,1,5
20,0,0,0,1,0,0,0,1,0,0,0,4,1,2
19,0,0,1,0,0,0,0,0,1,0,0,3,1,2
21,1,0,0,1,0,0,0,1,0,0,0,3,1,4
23,1,0,0,0,1,0,0,0,1,0,0,4,1,6
20,0,0,0,1,0,0,0,1,0,0,0,2,1,3
22,1,0,1,0,0,0,1,0,0,0,0,3.3333001,1,0
21,0,0,0,1,0,0,1,0,0,0,0,3.3333001,1,0
